tagClass|country
Song|China
President|India
Saint|India
Philosopher|China
Monarch|China
TennisPlayer|India
Thing|China
Scientist|India
Artist|China
BaseballPlayer|China
ChristianBishop|China
MilitaryPerson|India
Comedian|China
FictionalCharacter|India
PrimeMinister|China
ComicsCreator|India
Cricketer|China
ComicsCharacter|China
Actor|China
Senator|India
SoccerPlayer|China
Politician|India
IceHockeyPlayer|India
Governor|India
Architect|China
Company|India
EurovisionSongContestEntry|India
Boxer|China
Athlete|India
FormulaOneRacer|India
BasketballPlayer|China
Chancellor|India
MilitaryUnit|India
GolfPlayer|India
Criminal|India
AmericanFootballPlayer|China
Band|India
SoccerManager|China
NascarDriver|India
Cyclist|India
SportsTeamMember|China
MartialArtist|China
MemberOfParliament|China
Wrestler|India
Judge|China
SnookerChamp|China
Congressman|India
Model|India
SnookerPlayer|China
Film|India
Astronaut|India
AdultActor|China
BritishRoyalty|China
Writer|China
OfficeHolder|India
MusicalArtist|India
Album|China
Person|India
Single|China
Country|China
